City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,gao,16.6362,1.637,37.45,30,94,3.33,ML,1694280868
254,port moresby,-9.4431,147.1797,23.36,92,60,3.12,PG,1694280868
255,el nido,11.1858,119.3956,27.06,82,98,2.1,PH,1694280868
256,donja mahala,45.0469,18.6664,25.99,31,1,3.59,BA,1694280868
257,maragogi,-9.0122,-35.2225,24.84,80,87,5.35,BR,1694280869
258,tarko-sale,64.9225,77.785,8.89,68,70,4.47,RU,1694280869
259,san patricio,28.017,-97.5169,35.09,37,0,2.94,US,1694280869
260,pangody,65.85,74.4859,7.27,96,81,3.0,RU,1694280869
261,tommot,58.9564,126.2925,1.05,84,99,0.86,RU,1694280870
262,cabo san lucas,22.8909,-109.9124,34.78,74,40,5.14,MX,1694280870
263,kalabo,-14.97,22.6814,25.59,14,65,1.91,ZM,1694280860
264,fortuna,40.5982,-124.1573,14.43,96,100,0.0,US,1694280870
265,ghadamis,30.1337,9.5007,31.35,22,0,4.03,LY,1694280870
266,toguchin,55.2353,84.3858,12.64,67,100,2.16,RU,1694280871
267,waingapu,-9.6567,120.2641,24.52,85,26,4.68,ID,1694280871
268,wuyang,31.9925,116.2472,23.72,73,17,2.77,CN,1694280871
269,kununurra,-15.7667,128.7333,28.99,21,73,5.66,AU,1694280871
270,necochea,-38.5473,-58.7368,17.28,49,18,5.47,AR,1694280738
271,istmina,5.1605,-76.684,28.45,84,96,2.13,CO,1694280872
272,urangan,-25.3,152.9,15.28,78,0,5.67,AU,1694280872
273,fort mcmurray,56.7268,-111.381,14.77,67,0,2.06,CA,1694280653
274,pasni,25.2631,63.471,26.44,89,10,5.56,PK,1694280872
275,raduzhny,62.0961,77.475,12.25,48,20,2.32,RU,1694280873
276,tahe,52.3333,124.7333,8.77,96,53,1.95,CN,1694280873
277,khuzdar,27.7384,66.6434,29.3,21,7,2.51,PK,1694280873
278,marsh harbour,26.5412,-77.0636,28.87,68,34,3.43,BS,1694280873
279,jalqani,12.4486,34.2186,27.12,67,14,2.78,SD,1694280874
280,yelizovo,53.1873,158.3805,10.08,62,0,8.0,RU,1694280874
281,tazacorte,28.629,-17.9293,26.54,81,40,2.57,ES,1694280874
282,grand-popo,6.2804,1.8225,24.9,86,76,2.02,BJ,1694280874
283,wewak,-3.5534,143.6268,25.72,89,100,4.2,PG,1694280874
284,panacan,9.2463,118.4082,26.94,82,45,1.09,PH,1694280875
285,guiping,23.3925,110.0814,24.89,94,100,1.35,CN,1694280875
286,silute,55.3489,21.4831,18.95,72,100,1.9,LT,1694280875
287,kruisfontein,-34.0033,24.7314,14.16,96,40,1.87,ZA,1694280875
288,as sulayyil,20.4607,45.5779,36.14,12,7,3.67,SA,1694280875
289,bedesa,8.9,40.7833,20.18,73,77,2.83,ET,1694280876
290,pisco,-13.7,-76.2167,20.03,77,100,2.06,PE,1694280876
291,wittlich,49.9833,6.8833,29.79,62,0,1.54,DE,1694280876
292,vilyuchinsk,52.9306,158.4028,10.15,87,7,4.06,RU,1694280876
293,chui,-33.6971,-53.4616,16.51,58,18,2.04,UY,1694280876
294,weno,7.4515,151.8468,28.97,84,75,4.12,FM,1694280877
295,jayapura,-2.5333,140.7,24.66,94,100,1.15,ID,1694280877
296,yanbu,24.0891,38.0637,34.02,70,0,4.63,SA,1694280877
297,ridgecrest,35.6225,-117.6709,32.23,32,0,0.45,US,1694280594
298,sur,22.5667,59.5289,30.03,70,31,5.76,OM,1694280877
299,santa elena,-2.2333,-80.85,26.75,69,40,2.57,EC,1694280878
300,callao,-12.0667,-77.15,22.62,68,100,4.63,PE,1694280878
301,lubuklinggau,-3.3,102.8667,24.28,88,89,0.46,ID,1694280878
302,ekibastuz,51.6667,75.3667,18.92,43,97,8.41,KZ,1694280878
303,gulf shores,30.246,-87.7008,33.57,50,0,3.6,US,1694280787
304,tongging,2.8969,98.5262,19.36,99,98,1.57,ID,1694280880
305,fort st. john,56.2499,-120.8529,11.94,58,40,0.0,CA,1694280879
306,abu al matamir,30.9102,30.1744,30.27,51,0,3.17,EG,1694280880
307,gallup,35.5281,-108.7426,27.91,17,0,0.0,US,1694280747
308,saint johns,29.8961,-81.4165,33.3,62,40,5.66,US,1694280881
309,moroto,2.5345,34.6666,24.9,45,91,6.7,UG,1694280881
310,whitby,54.4877,-0.615,26.19,81,7,1.55,GB,1694280656
311,ilhabela,-23.7781,-45.3581,30.78,46,64,1.46,BR,1694280881
312,mormugao,15.4,73.8,26.59,89,40,3.09,IN,1694280881
313,port augusta,-32.5,137.7667,6.6,65,25,1.53,AU,1694280882
314,waliso,8.5333,37.9833,16.37,84,41,0.96,ET,1694280882
315,quellon,-43.1167,-73.6167,11.14,82,75,5.14,CL,1694280627
316,kingston,17.997,-76.7936,33.53,59,20,11.32,JM,1694280745
317,mandideep,23.0817,77.5333,24.49,97,100,2.76,IN,1694280882
318,kuala kedah,6.1,100.3,23.99,94,20,2.06,MY,1694280883
319,guane,22.2025,-84.0875,30.54,63,20,2.26,CU,1694280883
320,chowchilla,37.123,-120.2602,27.79,57,0,4.12,US,1694280883
321,westport,41.1415,-73.3579,30.96,72,0,3.6,US,1694280607
322,lycksele,64.5954,18.6735,18.02,82,20,5.66,SE,1694280883
323,taroa,8.7058,171.2275,28.33,75,19,3.77,MH,1694280884
324,altamira,-3.2033,-52.2064,36.05,44,75,4.63,BR,1694280884
325,mukalla,14.5425,49.1242,30.95,68,90,1.05,YE,1694280884
326,alvorada,-12.48,-49.1247,38.25,17,63,0.3,BR,1694280884
327,lautoka,-17.6167,177.4667,21.92,73,20,3.09,FJ,1694280884
328,la passe,45.5549,-0.8967,34.13,48,9,4.12,FR,1694280885
329,east wenatchee bench,47.4257,-120.2812,26.21,52,0,3.09,US,1694280885
330,basco,20.4487,121.9702,27.07,80,100,4.63,PH,1694280885
331,dhanwar,24.4167,85.9833,25.84,87,100,2.8,IN,1694280885
332,prado,-17.3411,-39.2208,25.3,63,34,4.32,BR,1694280885
333,grand falls-windsor,48.9332,-55.6649,16.39,92,100,3.72,CA,1694280609
334,palmer,42.1584,-72.3287,29.06,71,75,2.06,US,1694280683
335,trairi,-3.2778,-39.2689,31.58,45,7,7.65,BR,1694280886
336,garbahaarrey,3.3289,42.2209,31.14,34,87,4.18,SO,1694280886
337,levski,43.3667,25.1333,21.97,30,0,0.43,BG,1694280886
338,mineral wells,32.8085,-98.1128,35.36,48,0,2.57,US,1694280600
339,rawson,-43.3002,-65.1023,15.16,48,100,11.6,AR,1694280887
340,udachny,66.4167,112.4,0.25,80,96,1.79,RU,1694280887
341,hotan,37.0997,79.9269,25.93,16,39,3.22,CN,1694280887
342,santiago de cuba,20.0247,-75.8219,32.06,66,40,3.09,CU,1694280887
343,mattinata,41.7101,16.0516,27.86,74,0,2.76,IT,1694280887
344,gamay,12.3854,125.2979,25.46,85,99,1.09,PH,1694280888
345,nar'yan-mar,67.6713,53.087,9.68,81,71,4.44,RU,1694280888
346,sovetskaya gavan',48.9723,140.2878,11.62,92,68,2.14,RU,1694280888
347,talara,-4.5772,-81.2719,27.42,61,0,8.16,PE,1694280888
348,bich'vinta,43.1592,40.3378,22.1,64,64,4.07,GE,1694280889
349,el bauga,18.262,33.9081,39.26,19,38,2.28,SD,1694280889
350,rundu,-17.9333,19.7667,25.59,14,3,2.23,NA,1694280889
351,moose jaw,50.4001,-105.5344,20.14,40,29,3.09,CA,1694280889
352,kiomboi,-4.2667,34.3667,22.58,44,23,2.88,TZ,1694280889
353,ponoka,52.6768,-113.5815,18.83,52,0,3.42,CA,1694280844
354,lupane,-18.9315,27.807,21.01,12,1,2.02,ZW,1694280890
355,sisimiut,66.9395,-53.6735,5.54,67,14,3.47,GL,1694280890
356,zomba,-15.386,35.3188,23.48,33,0,1.63,MW,1694280890
357,tobelo,1.7284,128.0095,26.18,83,100,1.48,ID,1694280890
358,the pas,53.8251,-101.2541,16.01,59,69,3.6,CA,1694280763
359,port douglas,-16.4833,145.4667,22.03,94,99,3.74,AU,1694280891
360,sikasso,10.9167,-7.0,25.62,89,100,2.13,ML,1694280891
